SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
FRANCES J WARREN ELEMENTARY SCHOOL,PIMA,31,1.0
FRANCES OWEN HOLAWAY ELEMENTARY SCHOOL,PIMA,35,0.943
FRANK BORMAN MIDDLE SCHOOL,MARICOPA,80,0.95
FRANK ELEMENTARY SCHOOL,MARICOPA,74,0.946
FRANKLIN ACCELERATED ACADEMY - DOWNTOWN CAMPUS,MARICOPA,52,0.942
FRANKLIN ACCELERATED ACADEMY - JORDAN CAMPUS,MARICOPA,34,0.882
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,MARICOPA,116,0.845
FRANKLIN ELEMENTARY SCHOOL,MARICOPA,68,0.956
FRANKLIN PHONETIC PRIMARY SCHOOL,YAVAPAI,47,0.809
FREEDOM ACADEMY - E PARADISE LN,MARICOPA,23,0.957
FREEDOM CHRISTIAN ACADEMY,YUMA,25,0.72
FREEDOM ELEMENTARY SCHOOL - 85326,MARICOPA,59,0.915
FREEDOM TRADITIONAL ACADEMY - 85374,MARICOPA,71,0.859
FRONTIER ELEMENTARY SCHOOL,MARICOPA,63,0.873
FRUCHTHENDLER ELEMENTARY SCHOOL,PIMA,48,0.917
FRYE ELEMENTARY SCHOOL,MARICOPA,69,0.913
FULLER ELEMENTARY SCHOOL,MARICOPA,69,0.942
G FRANK DAVIDSON,MARICOPA,67,0.925
GADSDEN ELEMENTARY SCHOOL,YUMA,46,1.0
GALE ELEMENTARY SCHOOL,PIMA,50,0.96
GALLEGO BASIC ELEMENTARY SCHOOL,PIMA,116,0.983
GALVESTON ELEMENTARY SCHOOL,MARICOPA,82,0.976
GANADO PRIMARY SCHOOL,APACHE,62,1.0
GARDEN LAKES ELEMENTARY SCHOOL,MARICOPA,89,0.899
GARFIELD SCHOOL,MARICOPA,38,0.947
GARY A KNOX ELEMENTARY,YUMA,58,0.983
GATEWAY POINTE ELEMENTARY,MARICOPA,74,0.865
GATEWAY POLYTECHNIC ACADEMY,MARICOPA,118,0.873
GATEWAY SCHOOL,MARICOPA,62,0.855
GAVILAN PEAK ELEMENTARY,MARICOPA,21,0.81
GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,YUMA,35,0.914
GILA BEND ELEMENTARY SCHOOL,MARICOPA,38,0.868
GILA CROSSING COMMUNITY SCHOOL,MARICOPA,29,1.0
GILBERT CHRISTIAN ELEMENTARY & MIDDLE SCHOOL,MARICOPA,56,0.643
GILBERT CHRISTIAN SCHOOLS - GREENFIELD,MARICOPA,68,0.529
GILBERT CHRISTIAN SCHOOLS - VAL VISTA,MARICOPA,66,0.667
GILBERT ELEMENTARY SCHOOL,MARICOPA,95,0.874
GLADDEN FARMS ELEMENTARY SCHOOL,PIMA,98,0.929
GLEN CANYON OUTDOOR ACADEMY,COCONINO,21,0.952
GLENN F BURTON SCHOOL,MARICOPA,48,0.917
GLENN L DOWNS SCHOOL,MARICOPA,60,0.983
GLOBAL ACADEMY OF PHOENIX,MARICOPA,36,1.0
GOWAN SCIENCE ACADEMY,YUMA,92,0.957
GRACE CHRISTIAN ACADEMY,MARICOPA,39,0.769
GRANADA PRIMARY SCHOOL,MARICOPA,163,0.982
GRANVILLE ELEMENTARY,YAVAPAI,62,0.855
GRAYHAWK ELEMENTARY SCHOOL,MARICOPA,47,0.915
GREAT EXPECTATIONS ACADEMY,PIMA,20,0.95
GREAT HEART ACADEMIES ARCHWAY CICERO,MARICOPA,59,0.712
GREAT HEART ACADEMIES ARCHWAY LINCOLN,MARICOPA,120,0.817
GREAT HEARTS ACADEMIES - ARCHWAY ARETE GILBERT,MARICOPA,87,0.862
GREAT HEARTS ACADEMIES - ARCHWAY CLASSICAL ACADEMY TRIVIUM WEST,MARICOPA,140,0.914
GREAT HEARTS ACADEMIES - ARCHWAY NORTH PHOENIX,MARICOPA,115,0.774
GREAT HEARTS ACADEMIES - ARCHWAY VERITAS,MARICOPA,194,0.964
GREAT HEARTS ANTHEM,MARICOPA,78,0.679
GREAT HEARTS CHRISTOS - EVIDENT LIFE,MARICOPA,25,0.44
GREAT HEARTS ROOSEVELT,MARICOPA,132,0.879
GREENBRIER ELEMENTARY SCHOOL,MARICOPA,51,0.922
GREENFIELD ELEMENTARY SCHOOL,MARICOPA,99,0.838
GRIFFITH ELEMENTARY SCHOOL,MARICOPA,52,0.885
HALEY ELEMENTARY,MARICOPA,84,0.869
HAPPY VALLEY SCHOOL - EAST CAMPUS,PINAL,52,0.885
HAPPY VALLEY SCHOOL - PEORIA,MARICOPA,76,0.645
HAROLD STEELE ELEMENTARY SCHOOL,PIMA,34,0.941
HAROLD W SMITH SCHOOL,MARICOPA,76,0.934
HARRIET JOHNSON PRIMARY SCHOOL,PIMA,58,0.983
HARRIS ELEMENTARY SCHOOL,MARICOPA,44,0.977
HARTFORD SYLVIA ENCINAS ELEMENTARY SCHOOL,MARICOPA,83,0.904
HARVEST PREPARATORY ACADEMY - SAN LUIS,YUMA,47,1.0
HARVEST PREPARATORY ACADEMY - YUMA,YUMA,74,0.973
HASSAYAMPA ELEMENTARY SCHOOL,MARICOPA,32,1.0
HAVASUPAI ELEMENTARY SCHOOL,MOHAVE,36,0.889
HEARN ACADEMY,MARICOPA,70,0.871
HEARTLAND RANCH ELEMENTARY SCHOOL,PINAL,70,0.943
HEATHERBRAE ELEMENTARY SCHOOL,MARICOPA,73,0.986
HELEN KEELING ELEMENTARY SCHOOL,PIMA,37,0.946
HENRY HANK OYAMA,PIMA,42,0.929
HERITAGE ACADEMY - GATEWAY CAMPUS,MARICOPA,102,0.686
HERITAGE ELEMENTARY SCHOOL - WEST CAMPUS,MARICOPA,93,0.925
HERITAGE SCHOOL,MARICOPA,45,0.889
HERMOSA MONTESSORI SCHOOL,PIMA,36,0.861
HERMOSA VISTA ELEMENTARY SCHOOL,MARICOPA,86,0.907
HERRERA ELEMENTARY SCHOOL,MARICOPA,40,0.95
HIDDEN HILLS ELEMENTARY SCHOOL,MARICOPA,23,0.913
HIGHLAND ELEMENTARY SCHOOL,MARICOPA,76,0.829
HIGHLAND LAKES SCHOOL,MARICOPA,79,0.911
HIGHLAND PARK ELEMENTARY,MARICOPA,117,0.889
HIGHLAND PRIMARY SCHOOL,NAVAJO,109,0.789
HIGLEY TRADITIONAL ACADEMY,MARICOPA,87,0.862
HOHOKAM ELEMENTARY SCHOOL,MARICOPA,70,0.914
HOLBROOK JUNIOR HIGH SCHOOL,NAVAJO,76,0.763
HOLDEMAN ELEMENTARY SCHOOL,MARICOPA,69,0.87
HOLIDAY PARK ELEMENTARY SCHOOL,MARICOPA,72,0.972
HOLLADAY INTERMEDIATE MAGNET SCHOOL,PIMA,22,0.909
HOLLINGER ELEMENTARY SCHOOL,PIMA,31,0.871
HOLMES ELEMENTARY SCHOOL,MARICOPA,70,0.986
HOMER DAVIS ELEMENTARY SCHOOL,PIMA,57,0.965
HOPI ELEMENTARY SCHOOL,MARICOPA,112,0.955
HORIZON HONORS ELEMENTARY SCHOOL,MARICOPA,99,0.848
HORSESHOE TRAILS ELEMENTARY SCHOOL,MARICOPA,49,0.735
HOWELL PETER ELEMENTARY SCHOOL,PIMA,28,0.857
HUACHUCA CITY ELEMENTARY SCHOOL,COCHISE,32,0.875
HUACHUCA MOUNTAIN ELEMENTARY SCHOOL,COCHISE,51,0.961
HUALAPAI ELEMENTARY SCHOOL,MOHAVE,152,0.783
HUMBOLDT ELEMENTARY SCHOOL,YAVAPAI,38,0.895
IGNACIO CONCHOS ELEMENTARY SCHOOL,MARICOPA,42,1.0
IMAGINE CHARTER SCHOOL AT BELL CANYON,MARICOPA,29,0.793
IMAGINE ELEMENTARY AT AVONDALE,MARICOPA,58,0.931
IMAGINE ELEMENTARY AT COOLIDGE,PINAL,124,0.831
IMAGINE ELEMENTARY AT CORTEZ PARK,MARICOPA,74,0.946
IMAGINE ELEMENTARY AT DESERT WEST,MARICOPA,147,0.776
IMAGINE ELEMENTARY SCHOOL AT ROSEFIELD,MARICOPA,78,0.846
IMAGINE SCHOOLS AT BUCKEYE,MARICOPA,74,0.851
IMMACULATE CONCEPTION CATHOLIC SCHOOL,YAVAPAI,20,0.75
IMMACULATE CONCEPTION ELEMENTARY SCHOOL,YUMA,30,0.967
INCA ELEMENTARY SCHOOL,MARICOPA,84,0.857
INDIAN BEND ELEMENTARY SCHOOL,MARICOPA,47,0.851
INDIAN OASIS PRIMARY SCHOOL - W MAIN ST,PIMA,65,1.0
INDIAN WELLS ELEMENTARY,NAVAJO,43,0.977
INNOVATION ACADEMY K-5 STEM SCHOOL,PIMA,66,0.97
INSPIRATION MOUNTAIN SCHOOL,MARICOPA,67,0.791
INTERNATIONAL SCHOOL OF ARIZONA,MARICOPA,32,1.0
INTERNATIONAL SCHOOL OF TUCSON,PIMA,31,0.935
IRA A FULTON ELEMENTARY,MARICOPA,70,0.929
IRA A MURPHY SCHOOL,MARICOPA,42,0.929
IRENE ERICKSON ELEMENTARY SCHOOL,PIMA,50,1.0
IRENE LOPEZ SCHOOL,MARICOPA,45,0.911
IRONWOOD ELEMENTARY SCHOOL - PHOENIX,MARICOPA,54,0.926
IRONWOOD ELEMENTARY SCHOOL - TUCSON,PIMA,52,0.846
IRONWOOD SCHOOL,PINAL,62,0.887
IRVING ELEMENTARY SCHOOL,MARICOPA,71,0.93
ISHIKAWA ELEMENTARY SCHOOL,MARICOPA,83,0.952
ISLANDS ELEMENTARY SCHOOL,MARICOPA,69,0.928
J B SUTTON ELEMENTARY SCHOOL,MARICOPA,81,0.975
J ROBERT HENDRICKS ELEMENTARY SCHOOL,PIMA,51,0.902
JACK BARNES ELEMENTARY SCHOOL,MARICOPA,70,0.9
JACK DALEY PRIMARY SCHOOL,GRAHAM,124,0.839
JACK HARMON ELEMENTARY,PINAL,54,0.926
JACK L KUBAN ELEMENTARY SCHOOL,MARICOPA,47,0.915
JAMAICA ELEMENTARY SCHOOL,MOHAVE,56,0.857
JAMES B ROLLE SCHOOL,YUMA,103,0.961
JAMES KENDALL ZAHARIS ELEMENTARY,MARICOPA,98,0.878
JAMES W. RICE ELEMENTARY SCHOOL,MARICOPA,78,0.936
JANE D. HULL ELEMENTARY,MARICOPA,46,0.804
JEFFERSON ELEMENTARY SCHOOL - MESA,MARICOPA,61,0.984
JEFFERSON ELEMENTARY SCHOOL - WINSLOW,NAVAJO,124,0.984
JOE CARLSON ELEMENTARY SCHOOL,COCHISE,50,0.96
JOHN & CAROL CARLSON ELEMENTARY,MARICOPA,69,0.913
JOHN E WHITE ELEMENTARY SCHOOL,PIMA,79,0.962
JOHN E WRIGHT ELEMENTARY SCHOOL,PIMA,66,0.788
JOHN F KENNEDY ELEMENTARY SCHOOL,MARICOPA,89,0.966
JOHN F KENNEDY SCHOOL,PINAL,26,0.846
JOHN F LONG SCHOOL,MARICOPA,103,0.932
JOHN JACOBS ELEMENTARY SCHOOL,MARICOPA,64,0.906
JOHN M ANDERSEN ELEMENTARY SCHOOL,MARICOPA,55,0.964
JOHN MCCAIN III ELEMENTARY SCHOOL,MARICOPA,82,0.939
JOHN Q THOMAS ELEMENTARY SCHOOL,COCONINO,46,0.826
JOHN R DAVIS SCHOOL,MARICOPA,31,0.968
JOHNSON ELEMENTARY SCHOOL,MARICOPA,78,0.808
JOSEPH CITY ELEMENTARY SCHOOL,NAVAJO,21,0.857
JOSEPH ZITO ELEMENTARY SCHOOL,MARICOPA,61,0.984
JUSTINE SPITALNY ELEMENTARY SCHOOL,MARICOPA,64,0.984
KACHINA ELEMENTARY SCHOOL,MARICOPA,23,0.783
KATHERINE MECHAM BARNEY ELEMENTARY,MARICOPA,147,0.857
KATHRYN SUE SIMONTON ELEMENTARY,PINAL,44,0.886
KAYENTA INTERMEDIATE SCHOOL,NAVAJO,69,0.928
KELLER ELEMENTARY SCHOOL,MARICOPA,66,0.939
KENILWORTH ELEMENTARY SCHOOL,MARICOPA,47,0.936
KERR ELEMENTARY SCHOOL,MARICOPA,50,0.9
KEYSTONE MONTESSORI CHARTER SCHOOL,MARICOPA,25,0.92
KHALSA MONTESSORI SCHOOL - RIVER RD,PIMA,32,0.938
KINDERTOTS,MARICOPA,31,0.774
KINGMAN ACADEMY OF LEARNING - PRIMARY,MOHAVE,100,0.83
KINGS RIDGE PREPARATORY ACADEMY,MARICOPA,59,0.966
KINGSWOOD ELEMENTARY SCHOOL,MARICOPA,74,0.892
KINSEY INQUIRY AND DISCOVERY SCHOOL,COCONINO,45,0.889
KIVA ELEMENTARY SCHOOL,MARICOPA,87,0.943
KNOX ELEMENTARY SCHOOL,MARICOPA,68,0.941
KYRENE DE LA COLINA SCHOOL,MARICOPA,53,0.679
KYRENE DE LA ESPERANZA SCHOOL,MARICOPA,57,0.982
KYRENE DE LA ESTRELLA ELEMENTARY SCHOOL,MARICOPA,24,0.917
KYRENE DE LA MARIPOSA SCHOOL,MARICOPA,48,0.938
KYRENE DE LA MIRADA SCHOOL,MARICOPA,61,0.967
KYRENE DE LA PALOMA SCHOOL,MARICOPA,57,0.895
KYRENE DE LA SIERRA SCHOOL,MARICOPA,74,0.919
KYRENE DE LAS BRISAS SCHOOL,MARICOPA,72,0.903
KYRENE DE LAS LOMAS SCHOOL,MARICOPA,68,0.912
KYRENE DE LAS MANITAS SCHOOL,MARICOPA,39,0.949
KYRENE DE LOS CERRITOS SCHOOL,MARICOPA,42,0.833
KYRENE DE LOS LAGOS SCHOOL,MARICOPA,63,0.857
KYRENE DE LOS NINOS SCHOOL,MARICOPA,53,0.943
KYRENE DEL CIELO SCHOOL,MARICOPA,84,0.929
KYRENE DEL MILENIO,MARICOPA,57,0.719
KYRENE DEL NORTE SCHOOL,MARICOPA,95,0.905
KYRENE DEL SURENO SCHOOL,MARICOPA,44,0.955
KYRENE MONTE VISTA SCHOOL,MARICOPA,63,0.937
L THOMAS HECK MIDDLE SCHOOL,MARICOPA,24,0.792
LA PALOMA ACADEMY - CENTRAL,PIMA,80,0.925
LA PALOMA ACADEMY - LAKESIDE,PIMA,105,0.971
LA PALOMA ACADEMY - MARANA,PIMA,21,1.0
LA PALOMA ACADEMY SOUTH,PIMA,40,1.0
LA SENITA ELEMENTARY SCHOOL,MOHAVE,20,0.9
LAFE NELSON SCHOOL,GRAHAM,87,0.851
LAGUNA ELEMENTARY SCHOOL - TUCSON,PIMA,48,0.979
LAIRD ELEMENTARY SCHOOL,MARICOPA,51,0.922
LAKE PLEASANT ELEMENTARY,MARICOPA,135,0.859
LAKE VALLEY ELEMENTARY SCHOOL,YAVAPAI,39,0.744
LAKE VIEW ELEMENTARY SCHOOL,COCONINO,147,0.816
LAKEVIEW ELEMENTARY SCHOOL,MARICOPA,60,0.95
LAKIN PREP ACADEMY,MARICOPA,78,0.974
LARKSPUR ELEMENTARY SCHOOL,MARICOPA,54,0.963
LARRY C KENNEDY SCHOOL,MARICOPA,33,0.879
LAS BRISAS ACADEMY,MARICOPA,69,0.884
LAS BRISAS ELEMENTARY SCHOOL,MARICOPA,54,0.926
LAS SENDAS ELEMENTARY SCHOOL,MARICOPA,69,0.87
LAURA N. BANKS ELEMENTARY,PIMA,38,0.947
LAVEEN ELEMENTARY SCHOOL,MARICOPA,79,0.873
LEADING EDGE ACADEMY - EAST MESA CAMPUS,MARICOPA,24,0.75
LEADING EDGE ACADEMY - GILBERT ELEMENTARY CAMPUS,MARICOPA,25,0.68
LEADING EDGE ACADEMY - MARICOPA CAMPUS,PINAL,94,0.894
LEADING EDGE ACADEMY - MOUNTAIN VIEW CAMPUS,PINAL,22,0.591
LEARNING FOUNDATION AND PERFORMING ARTS STAPLEY,MARICOPA,20,0.8
LEARNING FOUNDATION AND PERFORMING ARTS WARNER,MARICOPA,35,0.771
LEGACY ONLINE ACADEMY,MARICOPA,35,0.657
LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,MARICOPA,90,0.867
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,MARICOPA,106,0.849
LEGACY TRADITIONAL SCHOOL - AVONDALE,MARICOPA,144,0.938
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,PINAL,173,0.931
LEGACY TRADITIONAL SCHOOL - CHANDLER,MARICOPA,124,0.815
LEGACY TRADITIONAL SCHOOL - DEER VALLEY,MARICOPA,93,0.871
LEGACY TRADITIONAL SCHOOL - EAST TUCSON,PIMA,81,0.852
LEGACY TRADITIONAL SCHOOL - GLENDALE,MARICOPA,132,0.864
LEGACY TRADITIONAL SCHOOL - MARICOPA,PINAL,173,0.879
LEGACY TRADITIONAL SCHOOL - MESA,MARICOPA,87,0.885
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,MARICOPA,129,0.814
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,PIMA,117,0.915
LEGACY TRADITIONAL SCHOOL - PEORIA,MARICOPA,67,0.925
LEGACY TRADITIONAL SCHOOL - PHOENIX,MARICOPA,209,0.813
LEGACY TRADITIONAL SCHOOL - SAN TAN,PINAL,144,0.931
LEGACY TRADITIONAL SCHOOL - WEST SURPRISE,MARICOPA,146,0.836
LEGACY TRADITIONAL SCHOOL SURPRISE,MARICOPA,180,0.872
LEGACY TRADITIONAL SCHOOL- EAST MESA,MARICOPA,153,0.804
LEGACY TRADITIONAL SCHOOL- GOODYEAR,MARICOPA,87,0.839
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,PINAL,99,0.889
LEGEND SPRINGS ELEMENTARY,MARICOPA,95,0.926
LEHI ELEMENTARY SCHOOL,MARICOPA,41,0.878
LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,PIMA,135,0.867
LEMAN ACADEMY OF EXCELLENCE - EAST MESA,MARICOPA,23,0.696
LEMAN ACADEMY OF EXCELLENCE - MARANA,PIMA,128,0.945
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,PIMA,87,0.851
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,COCHISE,37,0.865
LEMAN ACADEMY OF EXCELLENCE CENTRAL TUCSON,PIMA,73,0.822
LIBERTY ARTS ACADEMY,MARICOPA,20,0.55
LIBERTY ELEMENTARY SCHOOL - TUCSON,PIMA,67,0.985
LIBERTY ELEMENTARY SCHOOL-85254,MARICOPA,62,0.887
LIBERTY ELEMENTARY SCHOOL-85326,MARICOPA,31,0.806
LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,COCHISE,22,0.955
LIBERTY TRADITIONAL SCHOOL PRESCOTT VALLEY,YAVAPAI,70,0.843
LINCOLN ELEMENTARY SCHOOL,SANTA CRUZ,73,1.0
LINCOLN ELEMENTARY SCHOOL,YAVAPAI,55,0.764
LINCOLN ELEMENTARY SCHOOL,MARICOPA,66,0.939
LINDBERGH ELEMENTARY SCHOOL,MARICOPA,38,0.974
LINDEN ELEMENTARY SCHOOL,NAVAJO,30,0.667
LINEWEAVER ELEMENTARY SCHOOL,PIMA,72,0.847
LITCHFIELD ELEMENTARY SCHOOL,MARICOPA,96,0.854
LITTLETON ELEMENTARY SCHOOL,MARICOPA,74,0.919
LOMA LINDA ELEMENTARY SCHOOL,MARICOPA,39,0.897
LONE MOUNTAIN ELEMENTARY SCHOOL,MARICOPA,42,0.786
LONGFELLOW ELEMENTARY SCHOOL,MARICOPA,55,0.964
LONGVIEW ELEMENTARY SCHOOL,MARICOPA,72,0.819
LOOKOUT MOUNTAIN SCHOOL,MARICOPA,145,0.945
LORETTO CATHOLIC SCHOOL,COCHISE,22,0.955
LOS AMIGOS ELEMENTARY SCHOOL,PIMA,90,1.0
LOS NINOS ELEMENTARY SCHOOL,PIMA,68,1.0
LOURDES CATHOLIC ELEMENTARY SCHOOL,SANTA CRUZ,27,0.963
LOWELL ELEMENTARY SCHOOL,MARICOPA,55,0.964
LOWELL SCHOOL,MARICOPA,28,0.75
LUKE ELEMENTARY SCHOOL,MARICOPA,76,0.908
LULU WALKER SCHOOL,PIMA,57,0.947
LYNN URQUIDES ELEMENTARY SCHOOL,PIMA,57,1.0
MABEL PADGETT ELEMENTARY SCHOOL,MARICOPA,102,0.902
MACARTHUR ELEMENTARY SCHOOL,MARICOPA,62,0.855
MADISON CAMELVIEW ELEMENTARY,MARICOPA,91,0.835
MADISON ELEMENTARY SCHOOL,MARICOPA,42,0.929
MADISON HEIGHTS ELEMENTARY SCHOOL,MARICOPA,99,0.929
MADISON RICHARD SIMIS SCHOOL,MARICOPA,182,0.94
MADISON ROSE LANE SCHOOL,MARICOPA,121,0.851
MADISON TRADITIONAL ACADEMY,MARICOPA,68,0.985
MADRID NEIGHBORHOOD SCHOOL,MARICOPA,54,0.981
MAGMA RANCH K-8 SCHOOL,PINAL,54,0.852
MAGNET TRADITIONAL SCHOOL,MARICOPA,23,1.0
MAIE BARTLETT HEARD SCHOOL,MARICOPA,36,0.944
MALDONADO AMELIA ELEMENTARY SCHOOL,PIMA,39,0.974
MAMMOTH SAN MANUEL PK-12 ELEMENTARY(K-5),PINAL,33,1.0
MANUEL DEMIGUEL ELEMENTARY SCHOOL,COCONINO,76,0.947
MANUEL PENA JR. ELEMENTARY SCHOOL,MARICOPA,109,0.917
MANY FARMS PUBLIC SCHOOL - 86503,APACHE,28,1.0
MANZANITA ELEMENTARY SCHOOL - KINGMAN,MOHAVE,137,0.752
MANZANITA ELEMENTARY SCHOOL - PHOENIX,MARICOPA,64,0.969
MANZANITA SCHOOL,PIMA,83,0.964
MANZO ELEMENTARY SCHOOL,PIMA,38,0.974
MARICOPA ELEMENTARY SCHOOL,PINAL,139,0.921
MARILYN THIELE WILSON SCHOOL - MESA,MARICOPA,61,0.934
MARION DONALDSON ELEMENTARY SCHOOL,PIMA,33,1.0
MARIONNEAUX ELEMENTARY SCHOOL,MARICOPA,71,0.915
MARJORIE W ESTES ELEMENTARY SCHOOL,PIMA,74,0.973
MARLEY PARK ELEMENTARY,MARICOPA,93,0.849
MARSHALL ELEMENTARY SCHOOL,PIMA,41,0.951
MARSHALL HUMPHREY II ELEMENTARY SCHOOL,MARICOPA,48,0.917
MARSHALL RANCH ELEMENTARY SCHOOL,MARICOPA,67,0.925
MARTIN LUTHER KING JR ELEMENTARY SCHOOL,MARICOPA,59,0.932
MARY A OTONDO ELEMENTARY SCHOOL,YUMA,138,0.899
MARY BELLE MCCORKLE,PIMA,89,0.921
MARY C O'BRIEN ELEMENTARY SCHOOL,PINAL,20,0.95
MARY L WELTY ELEMENTARY SCHOOL,SANTA CRUZ,59,0.983
MARY MCLEOD BETHUNE SCHOOL,MARICOPA,30,0.8
MARYLAND ELEMENTARY SCHOOL,MARICOPA,86,0.907
MARYVALE PREPARATORY ACADEMY,MARICOPA,101,0.911
MASADA CHARTER SCHOOL,MOHAVE,50,0.4
MATH AND SCIENCE SUCCESS ACADEMY,PIMA,53,1.0
MAURICE C CASH SCHOOL,MARICOPA,66,0.985
MAXINE O BUSH ELEMENTARY SCHOOL,MARICOPA,36,1.0
MAYER ELEMENTARY SCHOOL,YAVAPAI,49,0.735
MCCARTNEY RANCH ELEMENTARY SCHOOL,PINAL,109,0.945
MCDOWELL MOUNTAIN ELEMENTARY SCHOOL,MARICOPA,53,0.774
MENDOZA ELEMENTARY SCHOOL,MARICOPA,47,0.851
MERCURY MINE ELEMENTARY SCHOOL,MARICOPA,62,0.887
MERIDIAN ELEMENTARY,MARICOPA,120,0.842
MESA ARTS ACADEMY,MARICOPA,23,0.913
MESA VERDE ELEMENTARY SCHOOL,PIMA,45,0.911
MESQUITE ELEMENTARY - YUMA,YUMA,62,0.968
MESQUITE ELEMENTARY SCHOOL - CASA GRANDE,PINAL,63,0.889
MESQUITE ELEMENTARY SCHOOL - GILBERT,MARICOPA,64,0.812
MESQUITE ELEMENTARY SCHOOL - TUCSON,PIMA,104,0.885
METCALF ELEMENTARY SCHOOL,GREENLEE,118,0.805
MEXICAYOTL CHARTER SCHOOL,SANTA CRUZ,22,1.0
MEYER MONTESSORI,MARICOPA,29,0.793
MICHAEL ANDERSON SCHOOL,MARICOPA,76,0.724
MICHAEL T. HUGHES ELEMENTARY SCHOOL,MARICOPA,61,0.885
MILES-EXPLORATORY LEARNING CENTER,PIMA,27,0.963
MILESTONES CHARTER SCHOOL,MARICOPA,37,0.811
MILLER ELEMENTARY SCHOOL,PIMA,61,0.967
MINGUS SPRINGS CHARTER SCHOOL,YAVAPAI,20,0.6
MIRAGE ELEMENTARY SCHOOL,MARICOPA,43,0.907
MISSION MANOR ELEMENTARY SCHOOL,PIMA,54,1.0
MISSION MONTESSORI ACADEMY,MARICOPA,26,0.308
MISSION VIEW ELEMENTARY SCHOOL,PIMA,22,1.0
MITCHELL ELEMENTARY SCHOOL,MARICOPA,64,0.969
MOHAVE ACCELERATED ELEMENTARY SCHOOL,MOHAVE,66,0.939
MONTE VISTA ELEMENTARY SCHOOL,MARICOPA,65,0.938
MONTECITO COMMUNITY SCHOOL,MARICOPA,30,0.767
MONTESSORI DAY PUBLIC SCHOOLS - MOUNTAINSIDE,MARICOPA,20,0.85
MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85203,MARICOPA,38,0.658
MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85204,MARICOPA,36,0.75
MONTESSORI SCHOOL OF FLAGSTAFF - SUNNYSIDE,COCONINO,22,0.864
MONTESSORI SCHOOLHOUSE-85705,PIMA,20,0.85
MOON MOUNTAIN SCHOOL,MARICOPA,58,0.914
MORGAN MAXWELL SCHOOL,PIMA,25,0.96
MOUNT TIPTON SCHOOL,MOHAVE,23,0.783
MOUNTAIN CHRISTIAN SCHOOL,NAVAJO,26,0.269
MOUNTAIN SCHOOL,COCONINO,33,0.939
MOUNTAIN SHADOWS ELEMENTARY SCHOOL,MARICOPA,49,0.918
MOUNTAIN VIEW ELEMENTARY - RIO RICO,SANTA CRUZ,66,0.97
MOUNTAIN VIEW ELEMENTARY SCHOOL - PHOENIX,MARICOPA,80,0.962
MOUNTAIN VIEW ELEMENTARY SCHOOL - PRESCOTT VALLEY,YAVAPAI,52,0.827
