SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
MOUNTAIN VIEW PREPARATORY,YAVAPAI,44,0.841
MOUNTAIN VIEW SCHOOL,MARICOPA,92,0.848
MOUNTAIN VISTA SCHOOL,PINAL,42,0.952
MOYA ELEMENTARY,MARICOPA,55,0.873
MYERS-GANOUNG ELEMENTARY SCHOOL,PIMA,43,0.977
NACO ELEMENTARY SCHOOL,COCHISE,25,0.84
NADABURG ELEMENTARY SCHOOL,MARICOPA,60,0.933
NAUTILUS ELEMENTARY SCHOOL,MOHAVE,40,0.8
NAVAJO ELEMENTARY SCHOOL,MARICOPA,67,0.821
NAVARRETE ELEMENTARY,MARICOPA,38,0.921
NAYLOR MIDDLE SCHOOL,PIMA,45,0.867
NEELY TRADITIONAL ACADEMY,MARICOPA,131,0.924
NEVITT ELEMENTARY SCHOOL,MARICOPA,113,0.956
NEW VISTAS ACADEMY,MARICOPA,53,0.981
NEW WORLD EDUCATIONAL CENTER,MARICOPA,23,0.957
NOAH WEBSTER BASIC SCHOOL - PIMA,MARICOPA,30,0.8
NOAH WEBSTER SCHOOLS - MESA,MARICOPA,83,0.843
NORTERRA CANYON K-8,MARICOPA,43,0.86
NORTH RANCH ELEMENTARY SCHOOL,MARICOPA,66,0.955
NORTH VALLEY CHRISTIAN ACADEMY,MARICOPA,47,0.617
NORTHWEST CHRISTIAN SCHOOL - MAIN CAMPUS,MARICOPA,88,0.58
NOSOTROS ACADEMY,PIMA,24,0.583
O C JOHNSON SCHOOL,YUMA,56,1.0
OAK CREEK SCHOOL,YAVAPAI,27,0.556
OAK TREE ELEMENTARY,MARICOPA,44,0.886
OAKWOOD ELEMENTARY SCHOOL,MARICOPA,105,0.895
OASIS ELEMENTARY SCHOOL,MARICOPA,50,0.74
OCHOA ELEMENTARY SCHOOL,PIMA,27,1.0
OCOTILLO RIDGE ELEMENTARY,PIMA,118,0.932
OCOTILLO SCHOOL,MARICOPA,84,0.964
ODYSSEY PREPARATORY ACADEMY - SIENNA HILLS,MARICOPA,66,0.833
ODYSSEY PREPERATORY ACADEMY - BUCKEYE APACHE,MARICOPA,90,0.878
ODYSSEY PREPERATORY ACADEMY - GOODYEAR,MARICOPA,81,0.827
ORANGE GROVE ELEMENTARY SCHOOL,YUMA,49,0.98
ORANGEWOOD ELEMENTARY SCHOOL,MARICOPA,86,0.907
OUR LADY OF MOUNT CARMEL SCHOOL,MARICOPA,45,0.844
OUR LADY OF PERPETUAL HELP SCHOOL-85251,MARICOPA,21,0.762
OUR LADY OF PERPETUAL HELP SCHOOL-85301,MARICOPA,29,0.862
OUR MOTHER OF SORROWS SCHOOL,PIMA,24,0.958
P T COE ELEMENTARY SCHOOL,MARICOPA,62,0.919
PAINTED SKY ELEMENTARY SCHOOL,PIMA,50,0.92
PALM CHRISTIAN SCHOOL,MARICOPA,20,0.6
PALM LANE ELEMENTARY SCHOOL,MARICOPA,65,0.985
PALM VALLEY ELEMENTARY,MARICOPA,66,0.879
PALMCROFT ELEMENTARY SCHOOL,YUMA,49,0.857
PALO VERDE ELEMENTARY SCHOOL,MARICOPA,39,0.923
PALO VERDE SCHOOL,PINAL,66,0.939
PALOMINO PRIMARY SCHOOL,MARICOPA,110,0.964
PAN-AMERICAN ELEMENTARY CHARTER SCHOOL,MARICOPA,87,0.943
PAPAGO SCHOOL,MARICOPA,62,0.823
PARADISE HONORS ELEMENTARY SCHOOL,MARICOPA,208,0.846
PARADISE VALLEY CHRISTIAN PREPARATORY,MARICOPA,29,0.69
PARAGON SCIENCE ACADEMY,MARICOPA,50,0.96
PARDES JEWISH DAY SCHOOL,MARICOPA,32,0.969
PARK ELEMENTARY SCHOOL,NAVAJO,76,0.763
PARK MEADOWS ELEMENTARY SCHOOL,MARICOPA,67,0.94
PARKRIDGE ELEMENTARY,MARICOPA,87,0.897
PASEO HILLS ELEMENTARY,MARICOPA,72,0.917
PASEO POINTE SCHOOL,MARICOPA,125,0.952
PASEO VERDE ELEMENTARY SCHOOL,MARICOPA,58,0.914
PATHFINDER ACADEMY - N BOULDER CANYON,MARICOPA,75,0.6
PATHFINDER ACADEMY AT EASTMARK,MARICOPA,44,0.682
PATTERSON ELEMENTARY SCHOOL,MARICOPA,58,0.862
PAYSON ELEMENTARY SCHOOL,GILA,129,0.783
PECAN GROVE ELEMENTARY SCHOOL,YUMA,37,0.973
PEDRO GUERRERO ELEMENTARY,MARICOPA,60,0.967
PENDERGAST ELEMENTARY SCHOOL,MARICOPA,62,0.887
PEORIA ELEMENTARY SCHOOL,MARICOPA,36,0.917
PEORIA TRADITIONAL SCHOOL,MARICOPA,41,0.805
PERALTA ELEMENTARY SCHOOL,MARICOPA,112,0.964
PERALTA TRAIL ELEMENTARY SCHOOL,PINAL,42,0.833
PERIDOT LUTHERAN ELEMENTARY SCHOOL,GILA,21,0.952
PHOENIX CHRISTIAN JR/SR HIGH SCHOOL,MARICOPA,27,0.778
PHOENIX COUNTRY DAY SCHOOL,MARICOPA,36,0.972
PICTURE ROCKS ELEMENTARY SCHOOL,PIMA,65,0.923
PIMA BUTTE ELEMENTARY SCHOOL,PINAL,72,0.944
PIMA ELEMENTARY SCHOOL - GRAHAM,GRAHAM,64,0.922
PIMA ELEMENTARY SCHOOL - SCOTTSDALE,MARICOPA,48,0.875
PINNACLE PEAK ELEMENTARY,MARICOPA,40,0.85
PIONEER ELEMENTARY SCHOOL-85234,MARICOPA,28,0.929
PIONEER ELEMENTARY SCHOOL-85306,MARICOPA,40,0.875
PIONEER PREPARATORY - A CHALLENGE FOUNDATION,MARICOPA,51,0.941
PLAYA DEL REY ELEMENTARY SCHOOL,MARICOPA,43,0.977
POMEROY ELEMENTARY SCHOOL,MARICOPA,48,0.812
PORTER ELEMENTARY SCHOOL,MARICOPA,68,0.897
POWER RANCH ELEMENTARY,MARICOPA,52,0.846
PRESCOTT VALLEY SCHOOL,YAVAPAI,69,0.638
PRESIDIO SCHOOL,PIMA,28,0.929
PRIMAVERA SCHOOL,YAVAPAI,30,0.567
PRINCE ELEMENTARY SCHOOL,PIMA,63,0.952
PUEBLO DEL SOL ELEMENTARY SCHOOL,COCHISE,47,0.979
PUEBLO DEL SOL MIDDLE SCHOOL,MARICOPA,47,0.936
PUEBLO ELEMENTARY SCHOOL - SCOTTSDALE,MARICOPA,75,0.853
PUEBLO ELEMENTARY SCHOOL - YUMA,YUMA,62,0.935
PUEBLO GARDENS ELEMENTARY SCHOOL,PIMA,40,0.975
PUSCH RIDGE CHRISTIAN ACADEMY SOUTH,PIMA,28,0.464
PUSCH RIDGE CHRISTIAN ACADEMY UPPER SCHOOL,PIMA,32,0.812
QUAIL RUN ELEMENTARY SCHOOL - PHOENIX,MARICOPA,66,0.939
QUAIL RUN ELEMENTARY SCHOOL - TUCSON,PIMA,77,0.974
QUARTZ HILL ELEMENTARY,MARICOPA,49,0.796
QUEEN CREEK ELEMENTARY SCHOOL,MARICOPA,65,0.877
QUEEN OF PEACE CATHOLIC SCHOOL,MARICOPA,28,0.964
RAINBOW VALLEY ELEMENTARY SCHOOL,MARICOPA,58,0.914
RALPH WALDO EMERSON ELEMENTARY SCHOOL,MARICOPA,30,0.8
RANCH ELEMENTARY SCHOOL,PINAL,62,0.919
RANCHO GABRIELA ELEMENTARY,MARICOPA,96,0.948
RANCHO SANTA FE ELEMENTARY SCHOOL,MARICOPA,54,0.889
RATTLESNAKE RIDGE ELEMENTARY,PIMA,68,0.897
RAUL GRIJALVA ELEMENTARY SCHOOL,PIMA,72,0.986
RED MOUNTAIN RANCH ELEMENTARY,MARICOPA,58,0.931
RED ROCK ELEMENTARY SCHOOL,PINAL,41,0.878
REDBIRD ELEMENTARY SCHOOL,MARICOPA,66,0.97
REDFIELD ELEMENTARY SCHOOL,MARICOPA,56,0.875
REID TRADITIONAL SCHOOL PAINTED ROCK ACADEMY,MARICOPA,53,0.925
REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,MARICOPA,98,0.908
REYES MARIA RUIZ LEADERSHIP ACADEMY,MARICOPA,52,0.885
RICE SCHOOL,GILA,78,0.987
RICHARD B WILSON JR SCHOOL - TUCSON,PIMA,50,0.98
RICHARD E MILLER SCHOOL,MARICOPA,82,0.927
RIDGELINE ACADEMY,MARICOPA,52,0.788
RIGGS ELEMENTARY,MARICOPA,90,0.844
RIO COLORADO ELEMENTARY SCHOOL,YUMA,51,1.0
RIO VISTA ELEMENTARY,MARICOPA,62,0.855
RIO VISTA ELEMENTARY SCHOOL,PIMA,61,0.967
RIVERA ELEMENTARY,PIMA,66,0.909
RIVERSIDE TRADITIONAL SCHOOL,MARICOPA,59,0.966
RIVERVIEW SCHOOL,MARICOPA,75,0.987
ROADRUNNER ELEMENTARY SCHOOL-85051,MARICOPA,75,0.933
ROADRUNNER ELEMENTARY SCHOOL-85653,PIMA,45,0.956
ROBERT AND DANELL TARWATER ELEMENTARY,MARICOPA,79,0.886
ROBERT BRACKER ELEMENTARY,SANTA CRUZ,39,0.974
ROBERT RICE ELEMENTARY,MARICOPA,98,0.918
ROBERT RICHARDSON ELEMENTARY SCHOOL,PIMA,45,0.956
ROBINS ELEMENTARY SCHOOL,PIMA,31,0.935
ROBISON ELEMENTARY SCHOOL,PIMA,35,1.0
ROBLES ELEMENTARY SCHOOL,PIMA,46,0.935
ROBSON ELEMENTARY SCHOOL,MARICOPA,40,1.0
ROGERS RANCH SCHOOL,MARICOPA,89,0.91
RONALD REAGAN FUNDAMENTAL SCHOOL,YUMA,53,1.0
ROOSEVELT ELEMENTARY SCHOOL,MARICOPA,79,0.987
ROOSEVELT SCHOOL,YUMA,35,0.971
ROSKRUGE BILINGUAL K-8 SCHOOL,PIMA,41,1.0
ROUND VALLEY MIDDLE SCHOOL,APACHE,85,0.729
ROVER ELEMENTARY SCHOOL,MARICOPA,72,0.917
RUDY G BOLOGNA ELEMENTARY,MARICOPA,54,0.963
RUTH POWELL ELEMENTARY SCHOOL,GRAHAM,71,0.986
SACATON ELEMENTARY,PINAL,34,1.0
SACRED HEART CATHOLIC SCHOOL,SANTA CRUZ,25,1.0
SADDLEBACK ELEMENTARY SCHOOL,PINAL,113,0.929
SAFFORD ELEMENTARY SCHOOL,PIMA,33,0.758
SAGUARO ELEMENTARY SCHOOL,PINAL,73,0.877
SAHUARITA PRIMARY SCHOOL,PIMA,89,0.944
SAHUARO RANCH ELEMENTARY SCHOOL,MARICOPA,55,0.873
SAHUARO SCHOOL,MARICOPA,61,0.984
SAINT AMBROSE SCHOOL,PIMA,20,0.85
SAINT ANTHONY OF PADUA ELMENTARY SCHOOL,PINAL,20,1.0
SAINT CYRIL OF ALEXANDRIA SCHOOL,PIMA,36,1.0
SAINT FRANCIS OF ASSISI SCHOOL,YUMA,25,0.96
SAINT FRANCIS XAVIER SCHOOL,MARICOPA,59,0.983
SAINT GREGORY SCHOOL,MARICOPA,35,1.0
SAINT JEROME CATHOLIC SCHOOL,MARICOPA,22,0.955
SAINT JOHN THE EVANGELIST SCHOOL,PIMA,25,1.0
SAINT JOHN VIANNEY CATHOLIC SCHOOL,MARICOPA,50,1.0
SAINT JOHN XXIII CATHOLIC SCHOOL,MARICOPA,56,0.911
SAINT JOSEPH CATHOLIC SCHOOL,PIMA,24,1.0
SAINT MARY-BASHA CATHOLIC SCHOOL,MARICOPA,39,0.949
SAINT THERESA CATHOLIC SCHOOL,MARICOPA,39,0.974
SAINT THOMAS AQUINAS GRADE SCHOOL,MARICOPA,46,0.935
SAINT THOMAS THE APOSTLE CATHOLIC SCHOOL,MARICOPA,53,0.925
SAINT TIMOTHY CATHOLIC SCHOOL,MARICOPA,24,0.792
SAINTS PETER & PAUL CATHOLIC SCHOOL,PIMA,29,0.931
SAINTS SIMON AND JUDE SCHOOL,MARICOPA,49,0.959
SALK ELEMENTARY SCHOOL,MARICOPA,58,0.948
SALT RIVER ELEMENTARY SCHOOL,MARICOPA,39,0.795
SAM HUGHES ELEMENTARY SCHOOL,PIMA,59,1.0
SAN CAYETANO ELEMENTARY SCHOOL,SANTA CRUZ,62,0.968
SAN MARCOS ELEMENTARY SCHOOL,MARICOPA,43,0.884
SAN TAN CHARTER SCHOOL,MARICOPA,77,0.662
SAN TAN ELEMENTARY,MARICOPA,110,0.882
SAN TAN HEIGHTS ELEMENTARY,PINAL,48,0.896
SANBORN ELEMENTARY SCHOOL,MARICOPA,62,0.968
SANDPIPER ELEMENTARY SCHOOL,MARICOPA,61,0.852
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,MARICOPA,34,0.971
SANTA CLARA ELEMENTARY SCHOOL,PIMA,64,0.984
SANTA CRUZ ELEMENTARY,PINAL,137,0.898
SANTA FE ELEMENTARY SCHOOL,MARICOPA,67,0.94
SANTA ROSA ELEMENTARY SCHOOL,PINAL,80,0.938
SANTAN ELEMENTARY SCHOOL,MARICOPA,59,0.949
SARAH MARLEY SCHOOL,COCHISE,44,1.0
SCALES TECHNOLOGY ACADEMY,MARICOPA,68,0.824
SCHNEPF ELEMENTARY,MARICOPA,170,0.724
SCHOLARS ACADEMY SUNNYSLOPE,MARICOPA,38,0.658
SCOTT L LIBBY ELEMENTARY SCHOOL,MARICOPA,76,0.868
SCOTTSDALE CHRISTIAN ACADEMY,MARICOPA,86,0.57
SECOND STREET CHILDREN'S SCHOOL,PIMA,22,0.909
SELF DEVELOPMENT ACADEMY PHOENIX,MARICOPA,29,0.897
SELF DEVELOPMENT CHARTER SCHOOL-85202,MARICOPA,35,0.971
SENITA VALLEY ELEMENTARY SCHOOL,PIMA,94,0.979
SEQUOIA CHARTER ELEMENTARY SCHOOL,MARICOPA,30,0.867
SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,MARICOPA,70,0.5
SEQUOIA PATHFINDER AT VERRADO WAY,MARICOPA,45,0.778
SEQUOIA PATHWAY ACADEMY,PINAL,40,0.775
SEQUOYA ELEMENTARY SCHOOL,MARICOPA,88,0.92
SETTLERS POINT ELEMENTARY,MARICOPA,63,0.889
SEVEN MILE SCHOOL,NAVAJO,68,0.882
SEVILLA PRIMARY SCHOOL,MARICOPA,131,0.985
SHAW BUTTE SCHOOL,MARICOPA,99,0.97
SHEELY FARMS ELEMENTARY SCHOOL,MARICOPA,71,0.972
SHUMWAY ELEMENTARY SCHOOL,MARICOPA,56,0.946
SIERRA MIDDLE SCHOOL,PIMA,42,0.952
SIERRA VERDE ELEMENTARY,MARICOPA,82,0.89
SILVER VALLEY ELEMENTARY,MARICOPA,161,0.826
SIRRINE ELEMENTARY SCHOOL,MARICOPA,50,0.74
SKY CROSSING ELEMENTARY SCHOOL,MARICOPA,102,0.892
SKY VIEW ELEMENTARY SCHOOL,MARICOPA,47,0.809
SKYLINE RANCH ELEMENTARY,PINAL,51,0.863
SKYVIEW SCHOOL,YAVAPAI,24,0.625
SMOKETREE ELEMENTARY SCHOOL,MOHAVE,50,0.84
SOLANO SCHOOL,MARICOPA,79,0.785
SOLENG TOM ELEMENTARY SCHOOL,PIMA,34,0.941
SOLOMON ELEMENTARY SCHOOL,GRAHAM,21,1.0
SONOMA RANCH ELEMENTARY SCHOOL,MARICOPA,41,0.976
SONORAN FOOTHILLS SCHOOL,MARICOPA,95,0.863
SONORAN SCIENCE ACADEMY - PHOENIX,MARICOPA,25,0.76
SONORAN SCIENCE ACADEMY - TUCSON,PIMA,36,1.0
SONORAN SCIENCE ACADEMY EAST,PIMA,39,0.974
SONORAN SKY ELEMENTARY SCHOOL-85260,MARICOPA,69,0.899
SONORAN SKY ELEMENTARY SCHOOL-85307,MARICOPA,61,0.934
SOUSA ELEMENTARY SCHOOL,MARICOPA,43,0.884
SOUTH PHOENIX PREP AND ARTS ACADEMY,MARICOPA,64,0.844
SOUTHWEST ELEMENTARY SCHOOL,MARICOPA,52,0.962
SOUTHWESTERN CHRISTIAN SCHOOL,YUMA,20,0.75
SPECTRUM ELEMENTARY,MARICOPA,79,0.861
SPRACALE ELEMENTARY SCHOOL,MARICOPA,56,0.946
ST ELIZABETH ANN SETON SCHOOL,PIMA,31,0.968
ST. JOHN BOSCO CATHOLIC SCHOOL PROGRAM,MARICOPA,49,0.857
STANFIELD ELEMENTARY SCHOOL,PINAL,28,1.0
STARLIGHT PARK SCHOOL,MARICOPA,103,0.913
STARLINE ELEMENTARY SCHOOL,MOHAVE,74,0.649
STEPPING STONES ACADEMY,MARICOPA,21,0.619
STETSON HILLS ELEMENTARY,MARICOPA,65,0.923
STEVEN R JASINSKI ELEMENTARY SCHOOL,MARICOPA,85,0.906
STEVENSON ELEMENTARY SCHOOL - DOUGLAS,COCHISE,61,1.0
STEVENSON ELEMENTARY SCHOOL - MESA,MARICOPA,96,0.958
STURGEON CROMER ELEMENTARY SCHOOL,COCONINO,38,1.0
SUMMIT ACADEMY,MARICOPA,90,0.911
SUMMIT VIEW ELEMENTARY,PIMA,58,1.0
SUN CANYON ELEMENTARY SCHOOL,MARICOPA,83,0.988
SUN VALLEY ACADEMY - AVONDALE,MARICOPA,90,0.933
SUN VALLEY ACADEMY - GLENDALE,MARICOPA,52,0.827
SUN VALLEY ACADEMY - PHOENIX,MARICOPA,84,0.881
SUN VALLEY ELEMENTARY,YUMA,49,1.0
SUN VALLEY ELEMENTARY SCHOOL,MARICOPA,66,0.758
SUNBURST ELEMENTARY SCHOOL,MARICOPA,55,0.927
SUNDANCE ELEMENTARY SCHOOL-85326,MARICOPA,71,0.944
SUNDANCE ELEMENTARY SCHOOL-85345,MARICOPA,51,0.961
SUNLAND ELEMENTARY SCHOOL,MARICOPA,58,0.966
SUNNYSLOPE ELEMENTARY SCHOOL,MARICOPA,52,0.904
SUNRIDGE ELEMENTARY SCHOOL,MARICOPA,84,0.952
SUNRISE DRIVE ELEMENTARY SCHOOL,PIMA,64,1.0
SUNRISE ELEMENTARY - BULLHEAD CITY,MOHAVE,83,0.892
SUNRISE ELEMENTARY SCHOOL,YUMA,122,0.918
SUNRISE ELEMENTARY SCHOOL - PHOENIX,MARICOPA,51,0.882
SUNSET ELEMENTARY SCHOOL-85033,MARICOPA,93,0.989
SUNSET HEIGHTS ELEMENTARY SCHOOL-85382,MARICOPA,69,0.855
SUNSET HILLS ELEMENTARY-85379,MARICOPA,70,0.943
SUNSET RIDGE ELEMENTARY-85086,MARICOPA,37,0.838
SUNSET RIDGE ELEMENTARY-85305,MARICOPA,59,0.898
SUNSET SCHOOL-85302,MARICOPA,68,0.941
SUPERSTITION SPRINGS ELEMENTARY,MARICOPA,81,0.926
SURPRISE ELEMENTARY SCHOOL,MARICOPA,67,0.97
SWEETWATER SCHOOL-85304,MARICOPA,43,0.953
SYCAMORE ELEMENTARY SCHOOL - CORONA DE TUCSON,PIMA,86,0.942
SYNERGY PUBLIC SCHOOL,MARICOPA,71,0.592
T DALE HANCOCK ELEMENTARY,MARICOPA,79,0.747
T G BARR SCHOOL,MARICOPA,55,0.982
TAFT ELEMENTARY SCHOOL,MARICOPA,58,0.948
TANQUE VERDE ELEMENTARY SCHOOL,PIMA,64,0.969
TARTESSO ELEMENTARY SCHOOL,MARICOPA,51,0.902
TAVAN ELEMENTARY SCHOOL,MARICOPA,88,0.932
TAYLOR ELEMENTARY SCHOOL,NAVAJO,63,0.571
TAYLOR HICKS SCHOOL,YAVAPAI,71,0.761
TERRAMAR ELEMENTARY,MARICOPA,62,0.887
TERRITORIAL EARLY CHILDHOOD CENTER,YAVAPAI,147,0.81
THE CREIGHTON ACADEMY,MARICOPA,56,0.929
THE GRANDE INNOVATION ACADEMY,PINAL,90,0.844
THE PAIDEIA ACADEMY OF SOUTH PHOENIX,MARICOPA,72,0.847
THOMAS A EDISON SCHOOL,MARICOPA,55,1.0
THOMAS M KNOLES ELEMENTARY SCHOOL,COCONINO,40,0.95
THOMPSON RANCH ELEMENTARY,MARICOPA,66,0.97
TIERRA DEL SOL ELEMENTARY SCHOOL,YUMA,49,0.98
TOLSON ELEMENTARY SCHOOL,PIMA,33,0.879
TOLTEC ELEMENTARY SCHOOL,PINAL,49,0.918
TOMAHAWK ELEMENTARY SCHOOL,MARICOPA,92,0.902
TOWN & COUNTRY ELEMENTARY SCHOOL,COCHISE,26,0.962
TOWNE MEADOWS ELEMENTARY SCHOOL,MARICOPA,67,0.881
TRAILSIDE POINT ELEMENTARY,MARICOPA,80,0.875
TRI-CITY CHRISTIAN ACADEMY,MARICOPA,24,0.583
TRINITY CHRISTIAN SCHOOL - PRESCOTT,YAVAPAI,33,0.697
TRINITY LUTHERAN ELEMENTARY SCHOOL - LITCHFIELD PARK,MARICOPA,45,0.933
TSAILE ELEMENTARY SCHOOL,APACHE,34,1.0
TSE HOOTSOOI PRIMARY LEARNING CENTER,APACHE,103,1.0
TUBA CITY ELEMENTARY SCHOOL,COCONINO,61,0.951
TUCSON COUNTRY DAY SCHOOL,PIMA,51,0.902
TUCSON WALDORF SCHOOL,PIMA,44,0.727
TULLY ELEMENTARY ACCELERATED MAGNET SCHOOL,PIMA,31,1.0
TUMBLEWEED ELEMENTARY SCHOOL - 85029,MARICOPA,50,0.9
TUSCANO ELEMENTARY SCHOOL,MARICOPA,94,0.968
TWIN PEAKS ELEMENTARY SCHOOL,PIMA,73,0.904
UNION ELEMENTARY SCHOOL,MARICOPA,93,0.946
UNION PARK SCHOOL,MARICOPA,96,0.885
V H LASSEN ELEMENTARY SCHOOL,MARICOPA,26,0.885
VAIL ACADEMY & HIGH SCHOOL,PIMA,45,0.822
VAL VISTA ACADEMY - A BALL CHARTER SCHOOL,MARICOPA,30,0.9
VAL VISTA LAKES ELEMENTARY SCHOOL,MARICOPA,64,0.844
VALENCIA NEW COMER SCHOOL,MARICOPA,25,0.96
VALLE DEL ENCANTO LEARNING CENTER,YUMA,42,0.952
VALLEY CHRISTIAN SCHOOL,MARICOPA,42,0.571
VALLEY HORIZON ELEMENTARY SCHOOL,YUMA,66,0.985
VALLEY VIEW SCHOOL,MARICOPA,48,0.979
VAN BUSKIRK ELEMENTARY SCHOOL,PIMA,45,0.978
VASQUEZ DE CORONADO FRANCISCO SCHOOL,SANTA CRUZ,88,0.989
VENTANA VISTA ELEMENTARY SCHOOL,PIMA,64,0.969
VERDE CHRISTIAN ACADEMY,YAVAPAI,20,0.75
VERNON ELEMENTARY SCHOOL,APACHE,23,0.87
VERRADO ELEMENTARY SCHOOL - W SUNRISE LN,MARICOPA,118,0.915
VERRADO HERITAGE ELEMENTARY SCHOOL - W HAMILTON ST,MARICOPA,91,0.824
VESEY ELEMENTARY SCHOOL,PIMA,69,0.913
VICTORY COLLEGIATE COOPERATION,MARICOPA,27,0.37
VILLA DE PAZ ELEMENTARY SCHOOL,MARICOPA,50,0.94
VILLA MONTESSORI SCHOOL - MEADOWBROOK,MARICOPA,58,0.914
VILLAGE MEADOWS ELEMENTARY SCHOOL,MARICOPA,57,0.965
VILLAGE MEADOWS ELEMENTARY SCHOOL,COCHISE,48,0.938
VISTA COLLEGE PREP - MARYVALE,MARICOPA,63,0.968
VISTA COLLEGE PREP METRO NORTH ELEMENTARY,MARICOPA,62,0.871
VISTA COLLEGE PREPARATORY - 85003,MARICOPA,48,0.938
VISTA DEL SUR TRADITIONAL SCHOOL,MARICOPA,106,0.962
VISTANCIA ELEMENTARY SCHOOL,MARICOPA,95,0.758
W ARTHUR SEWEL ELEMENTARY SCHOOL,PIMA,25,0.84
W F KILLIP ELEMENTARY SCHOOL,COCONINO,61,0.82
W V WHITMORE ELEMENTARY SCHOOL,PIMA,66,0.939
WALKER BUTTE K-8,PINAL,61,0.885
WALTER DOUGLAS ELEMENTARY SCHOOL,PIMA,72,0.986
WARD TRADITIONAL ACADEMY,MARICOPA,46,0.935
WASHINGTON ELEMENTARY SCHOOL-85051,MARICOPA,95,0.958
WASHINGTON ELEMENTARY SCHOOL-85202,MARICOPA,49,0.816
WEBSTER ELEMENTARY SCHOOL,MARICOPA,79,0.975
WEINBERG ELEMENTARY SCHOOL,MARICOPA,69,0.942
WEITZEL'S PUENTE DE HOZHO BILINQUAL SCHOOL,COCONINO,68,0.912
WELLTON ELEMENTARY SCHOOL,YUMA,29,0.759
WEST ELEMENTARY SCHOOL,PINAL,85,0.918
WEST POINT ELEMENTARY,MARICOPA,76,0.908
WEST VALLEY CHRISTIAN SCHOOL,MARICOPA,50,0.68
WEST WING SCHOOL,MARICOPA,73,0.808
WESTAR ELEMENTARY SCHOOL,MARICOPA,67,0.91
WESTERN PEAKS ELEMENTARY,MARICOPA,102,0.892
WESTERN VALLEY ELEMENTARY SCHOOL,MARICOPA,67,0.94
WESTPARK ELEMENTARY SCHOOL,MARICOPA,55,0.873
WESTWIND PRIMARY-85037,MARICOPA,78,0.974
WESTWOOD PRIMARY SCHOOL-85015,MARICOPA,125,1.0
WHEELER ELEMENTARY SCHOOL,PIMA,51,0.961
WHIPPLE RANCH ELEMENTARY SCHOOL,NAVAJO,126,0.762
WHISPERING WIND ACADEMY,MARICOPA,49,0.857
WHITERIVER ELEMENTARY,NAVAJO,50,0.92
WHITMAN ELEMENTARY SCHOOL,MARICOPA,60,0.8
WHITTIER ELEMENTARY SCHOOL-85006,MARICOPA,32,1.0
WHITTIER ELEMENTARY SCHOOL-85201,MARICOPA,52,0.923
WILDFIRE ELEMENTARY,MARICOPA,38,0.842
WILDFLOWER ACCELERATED ACADEMY,MARICOPA,78,0.859
WILLCOX ELEMENTARY SCHOOL,COCHISE,62,0.952
WILLIAM C JACK SCHOOL,MARICOPA,84,0.929
WILLIAM R SULLIVAN ELEMENTARY SCHOOL,MARICOPA,57,0.965
WILLIAM T MACHAN ELEMENTARY SCHOOL,MARICOPA,61,0.836
WILLIAMS ELEMENTARY/MIDDLE SCHOOL,COCONINO,43,0.651
WINIFRED HARELSON ELEMENTARY SCHOOL,PIMA,62,0.968
WINTERS WELL ELEMENTARY SCHOOL,MARICOPA,116,0.922
WOOD ELEMENTARY SCHOOL,MARICOPA,85,0.871
WRIGHTSON RIDGE SCHOOL,PIMA,72,0.972
YAVAPAI ELEMENTARY SCHOOL,MARICOPA,59,0.949
YOUNG SCHOLARS ACADEMY,MOHAVE,47,0.915
YUMA LUTHERAN SCHOOL,YUMA,48,0.812
ZUNI HILLS ELEMENTARY SCHOOL,MARICOPA,71,0.901
